# Angle [deg]	Magnitude [dB]
-9.000000000000000000e+01	-4.099422335463876266e+01
-8.990000000000000568e+01	-4.099243457882218422e+01
-8.980000000000001137e+01	-4.098707046475887239e+01
-8.970000000000001705e+01	-4.097813764352945753e+01
-8.960000000000002274e+01	-4.096564713676614389e+01
-8.950000000000002842e+01	-4.094961431166601784e+01
-8.940000000000003411e+01	-4.093005881855408035e+01
-8.930000000000003979e+01	-4.090700451152702755e+01
-8.920000000000004547e+01	-4.088047935284372869e+01
-8.910000000000005116e+01	-4.085051530186760971e+01
-8.900000000000005684e+01	-4.081714818947163792e+01
-8.890000000000006253e+01	-4.078041757893400643e+01
-8.880000000000006821e+01	-4.074036661442778495e+01
-8.870000000000007390e+01	-4.069704185830326537e+01
-8.860000000000007958e+01	-4.065049311840631674e+01
-8.850000000000008527e+01	-4.060077326672085718e+01
-8.840000000000009095e+01	-4.054793805067197354e+01
-8.830000000000009663e+01	-4.049204589840751822e+01
-8.820000000000010232e+01	-4.043315771940485348e+01
-8.810000000000010800e+01	-4.037133670171583333e+01
-8.800000000000011369e+01	-4.030664810713781065e+01
-8.790000000000011937e+01	-4.023915906555546940e+01
-8.780000000000012506e+01	-4.016893836965172682e+01
-8.770000000000013074e+01	-4.009605627111963599e+01
-8.760000000000013642e+01	-4.002058427942851893e+01
-8.750000000000014211e+01	-3.994259496414581889e+01
-8.740000000000014779e+01	-3.986216176169648406e+01
-8.730000000000015348e+01	-3.977935878739680220e+01
-8.720000000000015916e+01	-3.969426065347941801e+01
-8.710000000000016485e+01	-3.960694229374783504e+01
-8.700000000000017053e+01	-3.951747879542276110e+01
-8.690000000000017621e+01	-3.942594523862722156e+01
-8.680000000000018190e+01	-3.933241654389424014e+01
-8.670000000000018758e+01	-3.923696732799484010e+01
-8.660000000000019327e+01	-3.913967176829052619e+01
-8.650000000000019895e+01	-3.904060347575463652e+01
-8.640000000000020464e+01	-3.893983537673911854e+01
-8.630000000000021032e+01	-3.883743960347916158e+01
-8.620000000000021600e+01	-3.873348739329480139e+01
-8.610000000000022169e+01	-3.862804899637150413e+01
-8.600000000000022737e+01	-3.852119359197905624e+01
-8.590000000000023306e+01	-3.841298921291148361e+01
-8.580000000000023874e+01	-3.830350267793819796e+01
-8.570000000000024443e+01	-3.819279953198159205e+01
-8.560000000000025011e+01	-3.808094399374162009e+01
-8.550000000000025580e+01	-3.796799891044999242e+01
-8.540000000000026148e+01	-3.785402571943056671e+01
-8.530000000000026716e+01	-3.773908441611432352e+01
-8.520000000000027285e+01	-3.762323352817187327e+01
-8.510000000000027853e+01	-3.750653009539582428e+01
-8.500000000000028422e+01	-3.738902965498727582e+01
-8.490000000000028990e+01	-3.727078623188111095e+01
-8.480000000000029559e+01	-3.715185233376634244e+01
-8.470000000000030127e+01	-3.703227895044722118e+01
-8.460000000000030695e+01	-3.691211555721348958e+01
-8.450000000000031264e+01	-3.679141012188698312e+01
-8.440000000000031832e+01	-3.667020911522611470e+01
-8.430000000000032401e+01	-3.654855752438338357e+01
-8.420000000000032969e+01	-3.642649886912080603e+01
-8.410000000000033538e+01	-3.630407522050280988e+01
-8.400000000000034106e+01	-3.618132722180060767e+01
-8.390000000000034674e+01	-3.605829411135346874e+01
-8.380000000000035243e+01	-3.593501374715151542e+01
-8.370000000000035811e+01	-3.581152263291266280e+01
-8.360000000000036380e+01	-3.568785594544668527e+01
-8.350000000000036948e+01	-3.556404756310640636e+01
-8.340000000000037517e+01	-3.544013009514738144e+01
-8.330000000000038085e+01	-3.531613491182562115e+01
-8.320000000000038654e+01	-3.519209217507309972e+01
-8.310000000000039222e+01	-3.506803086961417648e+01
-8.300000000000039790e+01	-3.494397883438449526e+01
-8.290000000000040359e+01	-3.481996279413247919e+01
-8.280000000000040927e+01	-3.469600839109764223e+01
-8.270000000000041496e+01	-3.457214021665933501e+01
-8.260000000000042064e+01	-3.444838184286937377e+01
-8.250000000000042633e+01	-3.432475585378880112e+01
-8.240000000000043201e+01	-3.420128387655190494e+01
-8.230000000000043769e+01	-3.407798661209508140e+01
-8.220000000000044338e+01	-3.395488386549531867e+01
-8.210000000000044906e+01	-3.383199457586316328e+01
-8.200000000000045475e+01	-3.370933684575257416e+01
-8.190000000000046043e+01	-3.358692797004324859e+01
-8.180000000000046612e+01	-3.346478446426882414e+01
-8.170000000000047180e+01	-3.334292209236080851e+01
-8.160000000000047748e+01	-3.322135589378498821e+01
-8.150000000000048317e+01	-3.310010021005512471e+01
